id,facility_code,standby_time,time,operating_status,operating_status_start,operating_status_end,facility_fastpass_status,facility_fastpass_start,facility_fastpass_end
38,234,20,"2020-02-18 14:31:00.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
39,202,NULL,"2020-02-18 14:31:00.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
40,222,130,"2020-02-18 14:31:00.000000",運営中,10:00:00.000000,19:00:00.000000,発行終了,NULL,NULL
41,236,5,"2020-02-18 14:31:00.000000",運営中,10:30:00.000000,19:00:00.000000,NULL,NULL,NULL
42,235,5,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
43,220,15,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
44,239,10,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
45,238,20,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
46,223,160,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,発行終了,NULL,NULL
47,243,130,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,発行終了,NULL,NULL
48,246,45,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,発行終了,NULL,NULL
49,232,5,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
50,231,5,"2020-02-18 14:31:01.000000",運営中,10:30:00.000000,19:00:00.000000,NULL,NULL,NULL
51,228,NULL,"2020-02-18 14:31:01.000000",一時運営中止,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
52,227,NULL,"2020-02-18 14:31:01.000000",一時運営中止,10:00:00.000000,16:30:00.000000,NULL,NULL,NULL
53,229,5,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,NULL,NULL,NULL
54,218,130,"2020-02-18 14:31:01.000000",運営中,10:00:00.000000,19:00:00.000000,発行終了,NULL,NULL
